"Año";"Periodo";"Parámetro";"Media de horas de luz "
"2018";"Abril";"Álava";"13,41"
"2018";"Abril";"Albacete";"13,23"
"2018";"Abril";"Alicante";"13,21"
"2018";"Abril";"Almería";"13,15"
"2018";"Abril";"Ávila";"13,31"
"2018";"Abril";"Badajoz";"13,23"
"2018";"Abril";"Islas Baleares";"13,26"
"2018";"Abril";"Barcelona";"13,34"
"2018";"Abril";"Burgos";"13,38"
"2018";"Abril";"Cáceres";"13,25"
"2018";"Abril";"Cádiz";"13,14"
"2018";"Abril";"Castellón";"13,28"
"2018";"Abril";"Ciudad Real";"13,24"
"2018";"Abril";"Córdoba";"13,19"
"2018";"Abril";"A Coruña";"13,43"
"2018";"Abril";"Cuenca";"13,28"
"2018";"Abril";"Girona";"13,37"
"2018";"Abril";"Granada";"13,16"
"2018";"Abril";"Guadalajara";"13,3"
"2018";"Abril";"Guipúzcoa ";"13,43"
"2018";"Abril";"Huelva";"13,17"
"2018";"Abril";"Huesca";"13,37"
"2018";"Abril";"Jaén";"13,19"
"2018";"Abril";"León";"13,39"
"2018";"Abril";"Lleida";"13,35"
"2018";"Abril";"La Rioja";"13,39"
"2018";"Abril";"Lugo";"13,41"
"2018";"Abril";"Madrid";"13,29"
"2018";"Abril";"Málaga";"13,14"
"2018";"Abril";"Murcia";"13,19"
"2018";"Abril";"Navarra";"13,4"
"2018";"Abril";"Ourense";"13,38"
"2018";"Abril";"Asturias";"13,43"
"2018";"Abril";"Palencia";"13,37"
"2018";"Abril";"Las Palmas";"12,84"
"2018";"Abril";"Pontevedra";"13,39"
"2018";"Abril";"Salamanca";"13,32"
"2018";"Abril";"Santa Cruz de Tenerife";"12,86"
"2018";"Abril";"Cantabria";"13,43"
"2018";"Abril";"Segovia";"13,32"
"2018";"Abril";"Sevilla";"13,17"
"2018";"Abril";"Soria";"13,36"
"2018";"Abril";"Tarragona";"13,33"
"2018";"Abril";"Teruel";"13,29"
"2018";"Abril";"Toledo";"13,27"
"2018";"Abril";"Valencia";"13,25"
"2018";"Abril";"Valladolid";"13,35"
"2018";"Abril";"Vizcaya";"13,42"
"2018";"Abril";"Zamora";"13,34"
"2018";"Abril";"Zaragoza";"13,35"
"2018";"Abril";"Ceuta";"13,11"
"2018";"Abril";"Melilla";"13,09"
;;
;;
"Métrica":"Media de horas de luz "
"Fuente":"IGN"
"Clasificación":""
"Unidad":"Media de horas de luz"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/horas-luz-provincias/426bc5ff-693c-4711-9d30-006c72ae4fd4"
"Titulo":"Horas de luz entre la salida y puesta del sol por provincias"
"Subtitulo":"(Abril)"
