Provincia;Horas de sol;HSP*
Almería;3.305;6.02
Cádiz;3.316;6
Córdoba;3.316;5.9
Granada;3.328;5.93
Huelva;3.527;6.02
Jaén;3.289;5.82
Málaga;3.248;5.82
Sevilla;3.526;5.98
Huesca;3.099;5.67
Teruel;3.011;5.11
Zaragoza;2.620;5.61
Asturias;1.962;3.85
Cantabria;1.639;3.97
Barcelona;2.453;5.4
Girona;2.800;4.12
Lleida;3.031;5.61
Tarragona;2.620;5.59
Albacete;3.282;5.72
Ciudad Real;3.295;5.76
Cuenca;2.779;5.57
Guadalajara;2.900;5.59
Toledo;2.815;5.78
Ávila;3.305;5.27
Burgos;2.751;4.98
León;2.734;5.31
Palencia;2.576;5.11
Salamanca;3.262;5.34
Segovia;3.024;5.02
Soria;2.894;5.1
Valladolid;3.016;5.39
Zamora;2.858;5.43
Madrid;2.691;5.74
Alicante;3.397;5.73
Castellón;3.321;5.59
Valencia;2.808;5.73
Badajoz;3.224;5.74
Cáceres;3.365;5.7
A Coruña;2.453;4.3
Lugo;2.820;4.3
Ourense;2.800;4.8
Pontevedra;3.031;4.4
Mallorca;3.098;5.3
Menorca;2.981;5.3
Tenerife;3.098;5.3
Lanzarote;2.924;5.9
La Palma;2.800;5.9
La Rioja;2.708;4.54
Murcia;3.348;5.7
Pamplona;2.285;4.74
Álava;2.147;4.2
Guipúzcoa;1.906;3.6
Vizcaya;1.694;3.86
