"Año";"Periodo";"Parámetro";"Media de horas de luz"
"2019";"Octubre";"Álava";"11,05"
"2019";"Octubre";"Albacete";"11,18"
"2019";"Octubre";"Alicante";"11,2"
"2019";"Octubre";"Almería";"11,25"
"2019";"Octubre";"Ávila";"11,13"
"2019";"Octubre";"Badajoz";"11,18"
"2019";"Octubre";"Islas Baleares";"11,16"
"2019";"Octubre";"Barcelona";"11,1"
"2019";"Octubre";"Burgos";"11,07"
"2019";"Octubre";"Cáceres";"11,17"
"2019";"Octubre";"Cádiz";"11,26"
"2019";"Octubre";"Castellón";"11,15"
"2019";"Octubre";"Ciudad Real";"11,18"
"2019";"Octubre";"Córdoba";"11,22"
"2019";"Octubre";"A Coruña";"11,03"
"2019";"Octubre";"Cuenca";"11,15"
"2019";"Octubre";"Girona";"11,08"
"2019";"Octubre";"Granada";"11,24"
"2019";"Octubre";"Guadalajara";"11,13"
"2019";"Octubre";"Guipúzcoa ";"11,03"
"2019";"Octubre";"Huelva";"11,23"
"2019";"Octubre";"Huesca";"11,07"
"2019";"Octubre";"Jaén";"11,22"
"2019";"Octubre";"León";"11,06"
"2019";"Octubre";"Lleida";"11,09"
"2019";"Octubre";"La Rioja";"11,06"
"2019";"Octubre";"Lugo";"11,04"
"2019";"Octubre";"Madrid";"11,13"
"2019";"Octubre";"Málaga";"11,25"
"2019";"Octubre";"Murcia";"11,21"
"2019";"Octubre";"Navarra";"11,05"
"2019";"Octubre";"Ourense";"11,07"
"2019";"Octubre";"Asturias";"11,03"
"2019";"Octubre";"Palencia";"11,08"
"2019";"Octubre";"Las Palmas";"11,49"
"2019";"Octubre";"Pontevedra";"11,06"
"2019";"Octubre";"Salamanca";"11,12"
"2019";"Octubre";"Santa Cruz de Tenerife";"11,48"
"2019";"Octubre";"Cantabria";"11,03"
"2019";"Octubre";"Segovia";"11,12"
"2019";"Octubre";"Sevilla";"11,23"
"2019";"Octubre";"Soria";"11,09"
"2019";"Octubre";"Tarragona";"11,11"
"2019";"Octubre";"Teruel";"11,14"
"2019";"Octubre";"Toledo";"11,15"
"2019";"Octubre";"Valencia";"11,17"
"2019";"Octubre";"Valladolid";"11,09"
"2019";"Octubre";"Vizcaya";"11,03"
"2019";"Octubre";"Zamora";"11,1"
"2019";"Octubre";"Zaragoza";"11,09"
"2019";"Octubre";"Ceuta";"11,28"
"2019";"Octubre";"Melilla";"11,3"
;;
;;
"Métrica":"Media de horas de luz"
"Fuente":"IGN"
"Clasificación":""
"Unidad":"Media de horas de luz"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/horas-luz-salida-puesta-sol-provincias/cd18fe8e-a43a-426a-bd6f-839e7e2babf2"
"Titulo":"Horas de luz entre la salida y puesta del sol por provincias"
"Subtitulo":"(Octubre)"
