Provincia;	Población;	Parques m²/hab
Araba/Álava;	246,976;	26.76
León;	125,317;	24.11
Madrid;	3,182,981;	21
Navarra;	649,946;	25
Sevilla;	689,434;	11.27
Valladolid;	299,715;	21.96
Cantabria;	581,641;	10.62
Lleida;	138,144;	10.1
Zaragoza;	664,938;	9.02
Gipuzkoa;	186,370;	18.24
Asturias;	272,365;	12
Ourense;	105,893;	7.45
Granada;	232,770;	7.39
Huelva;	145,115;	7.39
Albacete;	172,816;	7.16
Salamanca;	144,436;	17.08
Badajoz;	150,543;	6.75
A Coruña;	244,099:	6.58
Jaén;	114,238;	6.55
Almería;	195,389;	6.5
Alicante;	329,988;	6.12
Murcia;	214,177;	5.97
Bizkaia;	345,110;	25.6
Barcelona;	1,620,809;	7
Córdoba;	325,916;	5.34
Santa Cruz de Tenerife;	949,471;	4.39
Las Palmas;	377,650;	22
Valencia;	787,808;	4.18
Tarragona;	131,507;	4.01
Málaga;	569,002;	2.92
Burgos;	175,623;	37.06
Castellón;	169,498;	2.73
Cádiz;	118,048;	1.8
Islas Baleares;	1,220,739;	1.451
Palma; 	406,492;	3.42
Lugo;	97,211;	6.17
Huesca;	52,421;	23.78
Palencia;	76,302;	16.7
Zamora;	166,307;	21
Cuenca;	198,626;	10.46
Guadalajara;	89,169;	29
Ciudad Real;	491,117;	17.8
Cáceres;	95,456;	20
Soria;	88,377;	29.49
La Rioja;	319,485;	11.27
Segovia;	153,803;	24.05
Ávila;	161,771;	25.25
Toledo;	691,725;	1.88
		
